Track Name,Album Name,Artist Name(s),Release Date,Popularity,Genres,Danceability,Energy,Key,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Song Number,Message
Temptation,Substance,New Order,1987-08-17,54,"alternative rock,dance rock,madchester,new romantic,new wave,permanent wave,post-punk,synthpop,uk post-punk",0.6,0.881,0,0.0337,0.29,0.851,0.222,124.977,60,Perfect dance song
Is It Cold In The Water?,OIL OF EVERY PEARL'S UN-INSIDES,SOPHIE,2018-06-15,0,"art pop,bubblegum bass,deconstructed club,escape room,hyperpop,proto-hyperpop,transpop",0.233,0.39,0,0.0336,0.000781,0.000228,0.141,159.667,61,RIP love her
Limerence,Mono No Aware,Yves Tumor,2017-03-17,64,"art pop,escape room,experimental pop,experimental r&b,hypnagogic pop",0.325,0.322,8,0.03,0.887,0.214,0.118,182.073,62,I used to listen to this song so much I new when the thunder would rumble in the background based on how many times the vocals had looped
Teardrop,Mezzanine,"Massive Attack,Elizabeth Fraser",1998-01-01,70,"downtempo,electronica,trip hop,ethereal wave,scottish indie",0.615,0.419,11,0.0395,0.0173,0.497,0.135,76.997,63,It's said that this was Elizabeth Frase's farewell to Jeff Buckley (speculated to be a lover of hers)
That's Entertainment,Sound Affects,The Jam,1980-11-28,57,"mod revival,new romantic,new wave,punk,ska revival",0.567,0.653,0,0.0336,0.211,0.000489,0.0639,142.218,64,My mom gifted me this album on vinyl when I first started my collection becuase it's a 'must have'
Unpunishable,Inbred,Ethel Cain,2021-04-23,50,"countrygaze,indie pop,modern dream pop",0.413,0.408,0,0.0324,0.00477,0.0153,0.131,110.011,65,ETHEL!! One of my favourite off this album
Love$ick,Mura Masa,"Mura Masa, A$AP Rocky",2017-07-14,69,"channel islands indie,escape room,hyperpop,indie soul,vapor soul,east coast hip hop,hip hop,rap",0.625,0.763,8,0.129,0.147,0.0106,0.214,88.753,66,Song of the Summer circa 2017
Silver Soul,Teen Dream,Beach House,2010-01-26,67,"art pop,baltimore indie,dream pop,dreamo,indie rock,indietronica,modern dream pop,pov: indie",0.356,0.67,2,0.0324,0.467,0.000106,0.288,135.032,67,I discovered this song looking up the samples Kendrick Lamar used on his album good kid, m.A.A.d city (this appears on Money Trees)
The Parting Glass,The Parting Glass,"boygenius, Ye Vagabonds",2023-11-17,51,"indie pop,pov: indie,irish folk,irish neo-traditional",0.329,0.0921,1,0.0321,0.931,0.0,0.151,77.424,68,RIP Sinéad O'Connor
Archangel,Untrue,Burial,2007,45,"classic dubstep,electronica,future garage,hauntology,intelligent dance music,trip hop,uk bass,wonky",0.622,0.852,1,0.153,0.431,0.663,0.114,135.207,69,Top 3 IDM Albums of All Time
You Got Me,Things Fall Apart,"The Roots,Tariq Trotter,Erykah Badu,Eve",1999-02-23,65,"conscious hip hop,east coast hip hop,hip hop,philly rap,political hip hop,afrofuturism,alternative r&b,neo soul,r&b,contemporary r&b,dance pop,hip pop,urban contemporary",0.729,0.442,11,0.285,0.151,0.0,0.189,81.029,70,Eryka's vocals make this song for me
Que serais-je sans toi,Ferrat Chante Aragon,Jean Ferrat,1992-01-01,8,chanson,0.37,0.309,5,0.0332,0.801,0.0111,0.105,110.727,71,French classic
All My Little Words,69 Love Songs,The Magnetic Fields,1999-09-14,51,"alternative rock,chamber pop,lo-fi,melancholia,metropopolis,permanent wave,tape club",0.477,0.532,8,0.0274,0.731,0.0114,0.0973,105.239,72,Finn reintroduced me to this song and I'm so thankful he did because it's beautiful
Fake Plastic Trees,The Bends,Radiohead,1995-03-13,72,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",0.463,0.229,2,0.0297,0.167,0.0997,0.202,73.543,73,Marty's (controversial) favourite Radiohead album
Bags - Recorded At Electric Lady Studios,Live at Electric Lady,Clairo,2023-05-12,60,"bedroom pop,indie pop,pov: indie",0.669,0.657,10,0.0276,0.114,0.0916,0.0725,109.998,74,Waaayyy better than the original
Can I Kick It?,People's Instinctive Travels and the Paths of Rhythm,A Tribe Called Quest,1990-04-17,68,"conscious hip hop,east coast hip hop,golden age hip hop,hip hop,jazz rap,queens hip hop",0.848,0.666,0,0.274,0.173,0.000699,0.129,96.662,75,Lou Reed sample!
Crazy,St. Elsewhere,Gnarls Barkley,2006-05-02,23,"atl hip hop,neo soul",0.836,0.741,8,0.0339,0.0172,0.0583,0.0826,111.963,76,Throwback banger
